WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4403181 34.0682928)";MULTIPOINT (-118.4403181 34.0682928);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;582956;1;Charles E Young Term B
"MULTIPOINT (-118.4282178 34.0397256)";MULTIPOINT (-118.4282178 34.0397256);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583064;1;Westwood Sb & Pico Fs
"MULTIPOINT (-118.4385593 34.0710292)";MULTIPOINT (-118.4385593 34.0710292);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583068;1;Ucla Terminal
"MULTIPOINT (-118.4391208 34.0693345)";MULTIPOINT (-118.4391208 34.0693345);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;582956;2;Hilgard Sb & Westholme Fs
"MULTIPOINT (-118.4260786 34.0369492)";MULTIPOINT (-118.4260786 34.0369492);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583064;2;Westwood Sb & Exposition Ns
"MULTIPOINT (-118.4391208 34.0693345)";MULTIPOINT (-118.4391208 34.0693345);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583068;2;Hilgard Sb & Westholme Fs
"MULTIPOINT (-118.4394437 34.0669549)";MULTIPOINT (-118.4394437 34.0669549);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;582956;3;Hilgard Sb & Manning Dr Fs
"MULTIPOINT (-118.4246582 34.0351368)";MULTIPOINT (-118.4246582 34.0351368);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583064;3;Westwood Sb & Brookhaven Ns
"MULTIPOINT (-118.4394437 34.0669549)";MULTIPOINT (-118.4394437 34.0669549);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583068;3;Hilgard Sb & Manning Dr Fs
"MULTIPOINT (-118.44135470000001 34.0641377)";MULTIPOINT (-118.44135470000001 34.0641377);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;582956;4;Le Conte Wb & Hilgard Fs
"MULTIPOINT (-118.4233309 34.0334655)";MULTIPOINT (-118.4233309 34.0334655);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583064;4;Westwood Sb & Coventry Ns
"MULTIPOINT (-118.44135470000001 34.0641377)";MULTIPOINT (-118.44135470000001 34.0641377);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583068;4;Le Conte Wb & Hilgard Fs
"MULTIPOINT (-118.442829 34.0637914)";MULTIPOINT (-118.442829 34.0637914);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;582956;5;Le Conte Wb & Tiverton Fs
"MULTIPOINT (-118.42123530000001 34.0308418)";MULTIPOINT (-118.42123530000001 34.0308418);12;Ucla - Palms - Robertson Blvd;0;Line 12 Expo- Culver City;12 - Ucla - Palms - Robertson Blvd - 0 - Line 12 Expo- Culver City;583064;5;Westwood Sb & National Ns
