WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.489105 34.011378)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;1;4Th Nb & Civic Ctr Ns 3
"MULTIPOINT (-118.489105 34.011378)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;1;4Th Nb & Civic Ctr Ns 3
"MULTIPOINT (-118.4922701 34.0140931)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;2;4Th Nb & Colorado Fs
"MULTIPOINT (-118.4922701 34.0140931)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;2;4Th Nb & Colorado Fs
"MULTIPOINT (-118.4933625 34.0150203)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;3;4Th Nb & Broadway Ns
"MULTIPOINT (-118.4933625 34.0150203)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;3;4Th Nb & Broadway Ns
"MULTIPOINT (-118.4949244 34.0163321)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;4;4Th Nb & Santa Monica Ns
"MULTIPOINT (-118.4949244 34.0163321)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;4;4Th Nb & Santa Monica Ns
"MULTIPOINT (-118.496885 34.0179525)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;5;4Th Nb & Arizona Fs
"MULTIPOINT (-118.496885 34.0179525)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;5;4Th Nb & Arizona Fs
