WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4403181 34.0682928)";MULTIPOINT (-118.4403181 34.0682928);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;1;Charles E Young Term B
"MULTIPOINT (-118.4454548 34.0627881)";MULTIPOINT (-118.4454548 34.0627881);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;2;Westwood Sb & Weyburn Ns
"MULTIPOINT (-118.444879 34.0598913)";MULTIPOINT (-118.444879 34.0598913);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;3;Westwood Sb & Lindbrook Ns
"MULTIPOINT (-118.4437386 34.0584177)";MULTIPOINT (-118.4437386 34.0584177);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;4;Westwood Sb & Wilshire Fs
"MULTIPOINT (-118.4424768 34.0562946)";MULTIPOINT (-118.4424768 34.0562946);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;5;Westwood Sb & Rochester Ns
"MULTIPOINT (-118.4409185 34.0541731)";MULTIPOINT (-118.4409185 34.0541731);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;6;Westwood Sb & Ohio Ns
"MULTIPOINT (-118.4376161 34.0504519)";MULTIPOINT (-118.4376161 34.0504519);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;7;Westwood Sb & Santa Monica Ns
"MULTIPOINT (-118.4355765 34.0483498)";MULTIPOINT (-118.4355765 34.0483498);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;8;Westwood Sb & Missouri Ns
"MULTIPOINT (-118.4320378 34.0441236)";MULTIPOINT (-118.4320378 34.0441236);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;9;Westwood Sb & Olympic Ns
"MULTIPOINT (-118.4282178 34.0397256)";MULTIPOINT (-118.4282178 34.0397256);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;10;Westwood Sb & Pico Fs
"MULTIPOINT (-118.42123530000001 34.0308418)";MULTIPOINT (-118.42123530000001 34.0308418);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;11;Westwood Sb & National Ns
"MULTIPOINT (-118.4162041 34.0305074)";MULTIPOINT (-118.4162041 34.0305074);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;12;Overland Sb & National Place Fs
"MULTIPOINT (-118.4112574 34.0248164)";MULTIPOINT (-118.4112574 34.0248164);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;13;Palms Eb & Overland Fs
"MULTIPOINT (-118.4082098 34.0264597)";MULTIPOINT (-118.4082098 34.0264597);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;14;Palms Eb & Motor Fs
"MULTIPOINT (-118.40621 34.0275436)";MULTIPOINT (-118.40621 34.0275436);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;15;Palms Eb & Jasmine Fs
"MULTIPOINT (-118.4037328 34.0288955)";MULTIPOINT (-118.4037328 34.0288955);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;16;Palms Eb & Exposition Ns
"MULTIPOINT (-118.4026098 34.0300806)";MULTIPOINT (-118.4026098 34.0300806);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;17;National Eb & Manning Fs
"MULTIPOINT (-118.4003707 34.0312907)";MULTIPOINT (-118.4003707 34.0312907);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;18;National Eb & Castle Heights Ns
"MULTIPOINT (-118.39636230000001 34.0312703)";MULTIPOINT (-118.39636230000001 34.0312703);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;19;National Eb & Bagley Ns
"MULTIPOINT (-118.3902943 34.0307543)";MULTIPOINT (-118.3902943 34.0307543);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;20;National Eb & Robertson Fs
"MULTIPOINT (-118.3886316 34.0295763)";MULTIPOINT (-118.3886316 34.0295763);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;21;National Eb & Venice Ns
"MULTIPOINT (-118.3901293 34.0266186)";MULTIPOINT (-118.3901293 34.0266186);R12;Rapid 12 National Bl- Ucla Ackerman;0;Rapid 12 Expo-Culver City;R12 - Rapid 12 National Bl- Ucla Ackerman - 0 - Rapid 12 Expo-Culver City;583469;22;Robertson Bl Nb & Venice Bl Ns
"MULTIPOINT (-118.3901293 34.0266186)";MULTIPOINT (-118.3901293 34.0266186);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;1;Robertson Bl Nb & Venice Bl Ns
"MULTIPOINT (-118.3912288 34.0313234)";MULTIPOINT (-118.3912288 34.0313234);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;2;National Wb & Robertson Fs
"MULTIPOINT (-118.3962055 34.0313968)";MULTIPOINT (-118.3962055 34.0313968);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;3;National Wb & Bagley Fs
"MULTIPOINT (-118.399502 34.0314166)";MULTIPOINT (-118.399502 34.0314166);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;4;National Wb & Castle Heights Ns
"MULTIPOINT (-118.4027888 34.0301705)";MULTIPOINT (-118.4027888 34.0301705);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;5;National Wb & Manning Ns
"MULTIPOINT (-118.4041445 34.0288613)";MULTIPOINT (-118.4041445 34.0288613);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;6;Palms Wb & National Fs
"MULTIPOINT (-118.4066219 34.027532)";MULTIPOINT (-118.4066219 34.027532);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;7;Palms Wb & Jasmine Fs
"MULTIPOINT (-118.4088642 34.0263144)";MULTIPOINT (-118.4088642 34.0263144);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;8;Palms Wb & Motor Fs
"MULTIPOINT (-118.4116375 34.0249572)";MULTIPOINT (-118.4116375 34.0249572);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;9;Overland Nb & Palms Fs
"MULTIPOINT (-118.416732 34.0308318)";MULTIPOINT (-118.416732 34.0308318);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;10;National Place Wb & Overland Fs
"MULTIPOINT (-118.42104620000001 34.0308292)";MULTIPOINT (-118.42104620000001 34.0308292);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;11;Westwood Nb & National Fs
"MULTIPOINT (-118.4287021 34.040398)";MULTIPOINT (-118.4287021 34.040398);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;12;Westwood Nb & Pico Fs
"MULTIPOINT (-118.431886 34.0442268)";MULTIPOINT (-118.431886 34.0442268);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;13;Westwood Nb & Olympic Fs
"MULTIPOINT (-118.4352583 34.0480883)";MULTIPOINT (-118.4352583 34.0480883);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;14;Westwood Nb & Missouri Ns
"MULTIPOINT (-118.4372836 34.0503072)";MULTIPOINT (-118.4372836 34.0503072);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;15;Westwood Nb & Santa Monica Fs
"MULTIPOINT (-118.4404794 34.0539791)";MULTIPOINT (-118.4404794 34.0539791);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;16;Westwood Nb & Ohio Ns
"MULTIPOINT (-118.4420348 34.0559544)";MULTIPOINT (-118.4420348 34.0559544);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;17;Westwood Nb & Rochester Ns
"MULTIPOINT (-118.4435759 34.058562)";MULTIPOINT (-118.4435759 34.058562);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;18;Westwood Nb & Wilshire Ns
"MULTIPOINT (-118.4443707 34.0594547)";MULTIPOINT (-118.4443707 34.0594547);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;19;Westwood Nb & Lindbrook Ns
"MULTIPOINT (-118.4454066 34.0624205)";MULTIPOINT (-118.4454066 34.0624205);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;20;Westwood Nb & Weyburn Ns
"MULTIPOINT (-118.4452312 34.0654335)";MULTIPOINT (-118.4452312 34.0654335);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;21;Westwood Plaza Nb & J Stein Eye Fs
"MULTIPOINT (-118.4403181 34.0682928)";MULTIPOINT (-118.4403181 34.0682928);R12;Rapid 12 National Bl- Ucla Ackerman;1;Rapid 12 UCLA;R12 - Rapid 12 National Bl- Ucla Ackerman - 1 - Rapid 12 UCLA;583479;22;Charles E Young Term B
